id	Apa? Apa katamu? 
ja	何だって？ | 何て言った？ | 
ru	Что? Что такое? Что ты сказал? 
ar	&rlm;‏ما هذا؟ ماذا قلت؟‏ | 
da	Hvad er det her? Hvad sagde du? 
el	Ορίστε; Τι ήταν αυτό; Τι είπες; 
es-eu	¿Qué? ¿Qué es eso? ¿Qué has dicho? 
es	¿Qué? ¿Qué fue eso? ¿Qué dijiste? 
fi	Mitä? Mitä sanoit? 
fr	Quoi ? Pardon ? T'as dit quoi ? 
he	&rlm;‏מה? מה זה? מה? מה אמרת?‏ | 
it	Cosa? Come hai detto? 
nl	Wat zei je? 
no	Hva? Hva sa du? 
pl	Co? Co powiedziałeś? 
pt-br	Quê? O que você disse? 
pt	O quê? O que disseste? 
ro	Poftim? Ce-ai zis? 
sv	Vadå? Vad säger du? 
th	อะไรนะ นั่นอะไร อะไร พูดว่าอะไรนะ | 
tr	Ne? Neydi o? Ne? Ne dedin? 
vi	Gì cơ? Anh vừa nói gì? | 
zh-long	什麼鬼？你說什麼？ 
zh-short	什么？你说什么？ 
en	[Sandy] What? What's that? | What? What'd you say? | 
ko	뭐? 뭐라고 했어? | 

