ja	楽しんでるようだ | 
ar	&rlm;‏يحدث الأمر برمته هنا الليلة، أليس كذلك؟‏ | 
da	Det er her, det sker, hvad? 
el	Θα είναι πολύ ωραία απόψε. 
en	It's all happening here tonight, isn't it? | 
fi	Täällä on tänään hurja meno. 
fr	C'est la soirée à ne pas louper. 
he	&rlm;‏הכול קורה כאן הלילה, נכון?‏ | 
it	Succede di tutto stasera, vero? 
nl	Vanavond gebeurt het, hè? 
no	Alt skjer i kveld, ikke sant? 
pl	Dziś będzie wspaniały wieczór. 
pr-br	Tem de tudo esta noite, não tem? 
pr	Hoje acontece de tudo aqui, não é? 
ro	Evenimentul serii e aici, nu-i așa? 
ru	Сегодня тут будет круто, да? 
sp-eu	Hoy toda la acción está aquí, ¿no? 
sp	Todo pasará aquí esta noche, ¿no? 
sv	Allt kan hända ikväll, eller hur? 
th	ทั้งหมดเกิดขึ้นที่นี่คืนนี้ใช่ไหม | 
tr	Bu gece her şey olacak, değil mi? 
vi	Tất cả trong đêm nay, phải không? | 
zh-long	今晚真是大日子呀 
zh-short	今晚真棒 是吗？ 
ko	드디어 오늘 밤이군요 | 
id	Akan terjadi malam ini di sini, bukan? 

