ja	ラリってるのか？ | 
ar	&rlm;‏هل أنت منتشي بالمخدرات؟‏ | 
da	Er du skæv? 
el	Είσαι μαστουρωμένος; 
en	Are you stoned or something? | 
fi	Oletko pössytellyt? 
fr	T'es défoncé ou quoi ? 
he	&rlm;‏אתה מסומם?‏ | 
id	Kau teler? 
it	Sei fatto? 
ko	약했어요? | 
nl	Ben je stoned of zo? 
no	Er du stein? 
pl	Zjarałeś się? 
pr-br	Você está chapado? 
pr	Estás pedrado? 
ro	Ești drogat? 
ru	Ты обкурился? 
sp	¿Estás drogado? 
sp-eu	¿Vas colocado? 
sv	Är du stenad? 
th	เมายาหรือเปล่าเนี่ย | 
tr	Kafan kıyak mı senin? 
vi	Anh đang phê thuốc à? | 
zh-long	你嗑嗨了嗎？ 
zh-short	你嗑药了吗？ 

