ja	テニスコートの照明が | ついたら― | 
ru	Так что если ночью увидишь свет на моем корте... 
ar	&rlm;‏إن رأيت ملعبي لكرة المضرب مضاءاً ليلاً،‏ | 
en	So if you ever see | my tennis court lights on at night... | 
fi	Jos näet tenniskentän valojen olevan päällä, 
fr	Si mon terrain de tennis est allumé, un soir, 
it	Quando vedi il mio campo da tennis illuminato di sera, 
nl	Als je de lichten op mijn tennisbaan ziet branden... 
pl	Jeśli zobaczysz na korcie zapalone światło, 
pr-br	Se vir a minha quadra de tênis acesa à noite, 
pr	Se vires as luzes do campo de ténis ligadas de noite, 
sp-eu	Si alguna vez ves las luces de mi cancha de tenis encendidas, 
th	งั้นก็ ถ้าคุณเห็น | แสงไฟที่สนามเทนนิสในตอนค่ำ | 
tr	Gece tenis sahamın ışıklarını açık görürsen 
vi	Nếu anh thấy | đèn ở sân tennis của tôi sáng, | 
zh-long	如果夜裡 你看到我家網球場燈亮了 
zh-short	所以 要是晚上我家网球场亮着灯 
sp	Si ves las luces de la cancha de tenis encendidas de noche, 
no	Hvis du ser lys på tennisbanen min om kvelden... 
ro	Dacă vezi luminile aprinse seara, pe terenul meu de tenis... 
sv	Om lamporna lyser på min tennisplan... 
da	Hvis lyset er tændt på min tennisbane om aftenen, 
el	Αν κάποιο βράδυ δεις αναμμένα τα φώτα του τένις, 
id	Jika kau lihat lampu lapangan tenisku menyala di malam hari... 
he	&rlm;‏‏אם אי פעם תראה את אורות מגרש הטניס שלי | &rlm;‏דלוקים בלילה,‏ | 
ko	혹시 밤에 테니스 코트 불이 | 켜져 있다면 | 

