id	Inilah yang terbaik. 
ru	Так лучше. 
el	Αυτό είναι το καλύτερο. 
ja	これが最善だ | 
th	นี่คือสิ่งที่ดีที่สุด | 
ar	&rlm;‏وهذا أفضل.‏ | 
da	Det her er det bedste. 
en	This is best. | 
es	Esto es lo mejor. 
es-eu	Esto es lo mejor. 
fi	Näin on parasta. 
fr	C'est le mieux à faire. 
he	&rlm;‏זה הכי טוב.‏ | 
it	Questa è la migliore. 
ko	이게 최선이야 | 
nl	Dit is het beste. 
no	Dette er best. 
pl	To takie jest. 
pt-br	Isto é o melhor. 
pt	Isto é o melhor. 
ro	Așa e cel mai bine. 
sv	Det här är bäst. 
tr	En iyisi bu. 
vi	Đây là điều tốt nhất. | 
zh-long	這樣最好 
zh-short	这么做最好 

en	[giggling in high-pitched voice] 

