id	Ini pacarku, Mary. 
nl	Mijn vriendin, Mary. 
fi	Tyttöystäväni Mary. 
fr	Voici ma copine, Mary. 
ar	&rlm;‏‏- هذه حبيبتي، "ماري". | &rlm;‏- مرحباً.‏ | 
da	-Det er min pige, Mary. -Hej. 
el	-Από δω η κοπέλα μου, η Μαίρη. -Γεια. 
en	-This is my girl, Mary. | -Hi. | 
he	&rlm;‏‏זו החברה שלי, מרי. | &rlm;‏-היי.‏ | 
it	- La mia ragazza, Mary. - Salve. 
ko	- 제 여자친구 메리예요 | - 안녕하세요 | 
pl	- Moja dziewczyna, Mary. - Cześć. 
pr-br	-Esta é a Mary, minha namorada. -Oi. 
pr	- Esta é a Mary, a minha miúda. - Olá. 
ro	- Ea e iubita mea, Mary. - Bună! 
ru	-Это моя девушка Мэри. -Привет. 
sp	- Ella es mi novia, Mary. - Hola. 
sp-eu	- Esta es mi chica, Mary. - Hola. 
sv	-Här är min tjej, Mary. -Hej. 
th	- นี่แฟนผม แมรี่ | - สวัสดีค่ะ | 
tr	-Bu sevgilim Mary. -Merhaba. 
vi	- Bạn gái tôi, Mary. | - Chào anh. | 
zh-long	-我女人瑪莉 -嗨 
zh-short	-这是我女朋友 玛丽 -嗨 
ja	メアリーだ | 
no	-Dette er Mary. -Hei. 

