id	Kau benar, Alfred. 
ja	言うとおりだ | 
ar	&rlm;‏أنت محق يا "ألفريد".‏ | 
da	Du har ret, Alfred. 
el	Έχεις δίκιο, Άλφρεντ. 
en	You're right, Alfred. | 
es-eu	Tienes razón, Alfred. 
es	Tienes razón, Alfred. 
fi	Olet oikeassa. 
fr	C'est juste. 
he	&rlm;‏אתה צודק, אלפרד.‏ | 
it	Hai ragione, Alfred. 
nl	Je hebt gelijk, Alfred. 
no	Du har rett, Alfred. 
pl	Masz rację. 
pr-br	Você tem razão, Alfred. 
pr	Tens razão, Alfred. 
ro	Ai dreptate, Alfred. 
sv	Du har rätt, Alfred. 
th	นายพูดถูก อัลเฟรด | 
tr	Haklısın Alfred. 
vi	Anh nói đúng, Alfred. | 
zh-long	你說得沒錯，阿飛 
zh-short	你说的对 阿尔弗雷德 
ko	네 말이 맞아, 알프레드 | 
ru	Ты прав, Альфред. 

