id	Tidak, Sandy. Sudah kutangani. 
ru	Не надо, Сэнди. Я уже всё сделал. 
ar	&rlm;‏لا، لا بأس يا "ساندي". توليت الأمر بالفعل.‏ | 
da	Nej, det er i orden, Sandy. Jeg har sørget for det. 
el	Δεν πειράζει, Σάντι. Το κανόνισα ήδη. 
en	Oh, no, it's all... It's all good, Sandy. | I handled it already. | 
fi	Ei tarvitse. Järjestin sen jo. 
fr	Non, t'inquiète. C'est déjà fait. 
he	&rlm;‏לא, זה בסדר, סנדי. כבר טיפלתי בזה.‏ | 
it	No, è tutto a posto, Sandy. Ci ho già pensato io. 
ko	괜찮아요 | 제가 이미 처리했어요 | 
nl	Hoeft niet. Ik heb het al geregeld. 
no	Nei, det går bra, Sandy. Jeg har ordnet det alt. 
pl	Nie trzeba. Już to zrobiłem. 
pr-br	Não, está tudo bem, Sandy. Já cuidei de tudo. 
pr	Não é preciso, Sandy. Eu já tratei. 
ro	E-n regulă, Sandy. M-am ocupat eu deja. 
sp-eu	No, no importa, Sandy. Ya me he encargado yo. 
sp	No, está bien, Sandy. Yo ya me encargué. 
sv	Nej, det är lugnt. Jag har redan tagit hand om det. 
th	ไม่เป็นไร แซนดี้ ผมจัดการให้แล้ว | 
tr	Hayır, gerekmez Sandy. Ben hallettim bile. 
vi	Không, ổn mà, Sandy. Tôi lo xong rồi. | 
zh-long	不用，山迪，我都處理好了 
zh-short	不 没事 桑迪 我已经解决了 
ja	もう大丈夫だ | 俺がやっといた | 

