ja	サンディではなくて | サンディのような人がね | 
ar	&rlm;‏ليس "ساندي" نفسه. بل شخص مثله.‏ | 
da	Ikke Sandy, men en som Sandy. 
el	Όχι τον ίδιο τον Σάντι, αλλά έναν τύπο σαν αυτόν. 
en	Not Sandy. | Not Sandy, but a guy like Sandy. | 
es-eu	No a Sandy. A Sandy no, pero alguien como él. 
fi	Ei Sandyn itsensä, mutta hänen kaltaistensa. 
fr	Pas Sandy. Mais quelqu'un comme lui. 
he	&rlm;‏לא סנדי. אבל מישהו כמו סנדי.‏ | 
it	Non proprio Sandy. Uno come lui. 
ko	샌디가 아니라 | 샌디 같은 사람요 | 
nl	Niet Sandy. Maar iemand als Sandy. 
no	Ikke Sandy, men en som Sandy. 
pl	Nie on konkretnie, tylko taki menedżer. 
pr-br	Não o Sandy, mas um cara como ele. 
pr	Não o Sandy, mas alguém como ele. 
ro	Nu de Sandy, dar de unul ca Sandy. 
sv	Inte just Sandy, men en kille som honom. 
th	ไม่ใช่แซนดี้ แต่คนแบบแซนดี้ | 
tr	Sandy değil. Sandy değil, ama Sandy gibi biri. 
vi	Không phải là Sandy. | Mà là một người như Sandy. | 
zh-long	不是山迪本人喔 是像山迪這樣的人 
zh-short	不是指桑迪其人 而是桑迪那样的人 
id	Bukan Sandy, tapi seseorang seperti Sandy. 
es	No a Sandy, sino a alguien como él. 
ru	Не Сэнди, а кто-то типа Сэнди. 

zh-long	我太太有嚴重的肝臟問題 
fi	Vaimollani on vakava maksavaiva. | 
en	My wife has serious liver problems. 

en	♪ For my monster from his slab Began to rise ♪ 

