ja	何が苦手なんだ？ | 
id	- Dia tidak bisa menari? - Kau seorang diva. 
ru	-Она не умеет танцевать? -Ты - звезда! 
ko	- 춤출 줄 모른다고? | - 당신은 디바예요 | 
ar	&rlm;‏‏- إنها لا تعرف كيف ترقص؟ | &rlm;‏- أنت مغنية مشهورة!‏ | 
da	-Kan hun ikke danse? -Du er en diva! 
el	-Δεν ξέρει να χορεύει; -Είστε μια ντίβα. 
en	-[Sandy] She doesn't know how to dance? | -You're a diva! | 
fi	-Hänkö ei osaa tanssia? -Olet diiva! 
fr	- Genre, elle sait pas danser. - Vous êtes des divas ! 
he	&rlm;‏‏היא לא יודעת לרקוד? | &rlm;‏-את דיווה!‏ | 
it	- Dite che non sa ballare? - Sei una diva! 
nl	Kan zij niet dansen? -Je bent een diva. 
no	-Kan hun ikke danse? -Du er en diva! 
pr-br	-Ela não sabe dançar? -Você é uma diva! 
pr	- Ela não sabe dançar? - És uma diva! 
ro	- Nu știe să danseze? - Ești o divă! 
sp	- ¿Ella no sabe cómo bailar? - ¡Eres una diva! 
sp-eu	- ¿No sabe bailar? - ¡Eres una diva! 
sv	-Och hon kan inte dansa? -Du är en diva! 
th	- เธอเต้นไม่เป็น | - คุณคือดีวา | 
tr	-O mu dans etmeyi bilmiyor? -Sen bir divasın! 
vi	- Cô ấy không biết nhảy à? | - Cô là một diva! | 
zh-long	-還說不會跳舞？ -妳就是天后 
zh-short	-她不知道怎么跳舞吗？ -你是首席女主角！ 
pl	- Nie potrafi tańczyć? - Jesteście diwami! 

