ja	ハリウッドの王様を | バカにしやがって | 
fr	Je retrouverai vos parents. 
en	I'll find your parents | 
id	Kucari orang tua kalian dan buat kalian menyesal 
ru	Я найду ваших родителей, и вы пожалеете, что связались с королем Голливуда! 
ar	&rlm;‏‏سأجد والديكما وأجعلكما تتمنيان | &rlm;‏لو أنكما لم تعبثا مع ملك "هوليوود".‏ | 
da	Jeg finder jeres forældre, og I vil ønske ikke at have generet kongen af Hollywood. 
el	Θα βρω τους γονείς σας και θα μετανιώσετε που τα βάλατε με το Βασιλιά του Χόλιγουντ. 
fi	Kerron vanhemmillenne. Katsotaan, missä kaappi seisoo. 
he	&rlm;‏‏אמצא את ההורים שלכם ואגרום לכם להצטער | &rlm;‏שהתעסקתם עם המלך של הוליווד.‏ | 
it	Vi farò pentire di aver fatto arrabbiare un duro. 
ko	할리우드의 왕을 갖고 논 걸 | 후회하게 해주겠어 | 
nl	Ik vind je ouders, dan krijg je spijt dat je Hollywoods voornaamste lid lastigvalt. 
no	Jeg finner foreldrene deres. Ingen kødder ustraffet med kongen av Hollywood. 
pl	Gdybym doniósł o tym mamie, przetrzepałaby wam skórę. 
pr-br	Vou achar seus pais e vão se arrepender de terem se metido com o rei de Hollywood. 
pr	Vou fazer-vos desejar não se terem metido com o rei de Hollywood. 
ro	O să vă găsesc părinții și o să regretați că v-ați pus cu regele Hollywoodului! 
sp	Encontraré a sus padres, y quedarán duros cuando sepan lo que hicieron. 
sp-eu	Encontraré a vuestros padres y desearéis no haber jodido al Rey de Hollywood. 
sv	Jag är i stånd att ringa era föräldrar. Man bråkar inte med kungen av Hollywood. 
th	ฉันจะไปหาพ่อแม่เธอแล้วเธอจะเสียใจ | ที่มายุ่งกับราชาฮอลลีวูด | 
tr	Annenizi bir bulayım, Hollywood'un kralına bulaşmak neymiş gösteririm size. 
vi	Tôi sẽ tìm bố mẹ các cậu và khiến các cậu | phải ước chưa từng trêu vua Hollywood. | 
zh-long	我會跟你們爸媽講 你們會後悔亂搞好萊塢之王 
zh-short	我会找到你们的父母 让你们后悔惹了好莱坞国王的 
fr	Vous allez regretter d'avoir emmerdé le roi d'Hollywood. 
en	and make you wish you never messed | with the king of Hollywood. | 
id	kalian pernah mengganggu Raja Hollywood. 

