ja	マライアやホイットニー以上 | 
id	Bukan Mariah, bukan Whitney... 
ru	Ни Мэрайя, ни Уитни... 
no	-Det er ikke Mariah. Det er ikke Whitney. -Selger hun som Whitney, sier vi ja. 
ar	&rlm;‏ليست "مارايا" وليست "ويتني".‏ | 
da	Det er ikke Mariah eller Whitney... 
el	Δε θυμίζει ούτε Μαράια ούτε Γουίτνι... 
en	It's... it's not Mariah. | It's not Whitney. It's-- | 
es-eu	No es Mariah, no es Whitney... 
es	No es Mariah, no es Whitney. 
fi	Hän ei ole Mariah eikä Whitney. 
fr	Ni Mariah ni Whitney... 
he	&rlm;‏זו לא מריה. זו לא ויטני...‏ | 
it	Non è Mariah, non è Whitney... 
pl	Inny niż Mariah. Inny niż Whitney. 
pr-br	Não é Mariah. Não é Whitney... 
pr	Não é a Mariah. Não é a Whitney. 
ro	Nu e Mariah, nu e Whitney... 
sv	Det är inte Mariah, Whitney... 
th	มันไม่ใช่มารายห์ ไม่ใช่วิตนีย์... | 
tr	Ne Mariah ne Whitney. 
vi	Kể cả Mariah, Whitney. | 
zh-long	不是瑪麗亞凱莉 不是惠妮休斯頓… 
zh-short	不是玛丽亚 不是惠特妮 
ko	머라이어나 | 휘트니는 아니지만... | 

en	[all laughing] 

