ja	魂の歌声を聴きに来たのに | 失望する | 
ru	Как-то это не в кассу для такой душевной певицы, а? 
id	Transisi yang buruk 
en	That doesn't really segue well | 
ar	&rlm;‏‏هذا لا يناسب مؤلفة أغاني | &rlm;‏ومغنية مفعمة بالعاطفة، صحيح يا "ساندي"؟‏ | 
da	Det går ikke godt i spænd med en sanger-sangskriver med sjæl, gør det? 
el	Δεν ταιριάζει ιδιαίτερα με μια εκφραστική τραγουδίστρια και συνθέτιδα. 
fi	Siitä on hankala siirtyä sielukkaaseen laulaja-lauluntekijään. 
fr	Y a mieux pour lancer une chanteuse, non ? 
he	&rlm;‏זה לא חימום טוב לזמרת נשמה, נכון?‏ | 
it	Ti sembra sensato proporlo prima di un'appassionata cantautrice? 
nl	Niet echt geschikt voor een singer-songwriter, toch? 
no	Ingen god overgang til en følelsesfull sanger, eller hva? 
pl	Słaba to reklama dla soulowej wokalistki. 
pr-br	Isso não combina com uma cantora e compositora de baladas, certo? 
pr	Não é uma boa abertura para uma cantora-compositora, pois não? 
ro	Asta nu sună bine pentru cantautoarea de soul, nu-i așa? 
sp	Eso no va bien con compositora y cantante conmovedora. ¿No? 
sp-eu	Eso no pega mucho con cantautora con alma, ¿verdad? 
sv	Det funkar inte så bra ihop med en själfull singer-songwriter. 
th	มันไม่เหมาะกับ | นักร้องนักแต่งเพลงแนวโซลเลยใช่ไหม | 
tr	Duygulu bir şarkıcı ve şarkı yazarına güzel bir geçiş sayılmaz, öyle değil mi? 
vi	Điều đó không giúp gì cho | một nhạc sĩ kiêm ca sĩ đầy cảm xúc nhỉ? | 
zh-long	這不太適合一名靈魂創作歌手吧？ 
zh-short	这跟深情创作歌手可不搭边 是吧？ 
ko	소울 가득한 싱어송라이터로 | 매끄럽게 넘어가기 어렵잖아요 | 
id	ke penyanyi-penulis lagu penuh jiwa. Ya, bukan, Sandy? 
en	into soulful singer-songwriter now, | does it, Sandy? | 

