id	Inilah yang terbaik. 
ru	Так лучше. 
el	Αυτό είναι το καλύτερο. 
ja	これが最善だ | 
th	นี่คือสิ่งที่ดีที่สุด | 
ar	&rlm;‏وهذا أفضل.‏ | 
da	Det her er det bedste. 
en	This is best. | 
fi	Näin on parasta. 
fr	C'est le mieux à faire. 
he	&rlm;‏זה הכי טוב.‏ | 
it	Questa è la migliore. 
ko	이게 최선이야 | 
nl	Dit is het beste. 
no	Dette er best. 
pl	To takie jest. 
pr-br	Isto é o melhor. 
pr	Isto é o melhor. 
ro	Așa e cel mai bine. 
sp	Esto es lo mejor. 
sp-eu	Esto es lo mejor. 
sv	Det här är bäst. 
tr	En iyisi bu. 
vi	Đây là điều tốt nhất. | 
zh-long	這樣最好 
zh-short	这么做最好 

