ja	コーヒーのＣＭって話は？ | 
id	Kau bilang itu iklan kopi, Sandy! 
ru	Ты сказал, что это реклама кофе, Сэнди! 
ar	&rlm;‏قلت إنه كان إعلاناً عن القهوة يا "ساندي"!‏ | 
da	Du sagde, det var en kaffereklame, Sandy! 
el	Είπες ότι ήταν διαφήμιση για καφέ, Σάντι! 
en	You said it was | a coffee commercial, Sandy! | 
es	¡Dijiste que era una publicidad de café, Sandy! 
es-eu	¡Dijiste que era un anuncio de café, Sandy! 
fi	Sanoit, että se on kahvimainos! 
fr	Ça devait être une pub pour du café ! 
he	&rlm;‏אמרת שזו פרסומת לקפה, סנדי!‏ | 
it	Sandy, hai detto che era la pubblicità di un caffè! 
ko	커피 광고랬잖아요, 샌디! | 
nl	Je zei dat het een koffiecommercial was. 
no	Du sa det var en kaffereklame, Sandy! 
pl	Mówiłeś, że to reklama kawy! 
pr-br	Você disse que era um comercial de café, Sandy! 
pr	Disseste que era um anúncio de café, Sandy! 
ro	Ai zis că e o reclamă la cafea, Sandy! 
sv	Du sa att det var kaffereklam! 
th	คุณบอกว่าเป็นโฆษณากาแฟ แซนดี้ | 
tr	Kahve reklamı demiştin Sandy! 
vi	Anh nói là quảng cáo cà phê, Sandy! | 
zh-long	你說這是咖啡廣告，山迪！ 
zh-short	你之前说是咖啡广告 桑迪！ 

