ja	だからシアトルへ | 
ru	Я переезжаю в Сиэтл. 
id	Jadi, aku pindah ke Seattle. 
th	ฉันจะย้ายไปอยู่ซีแอตเทิล | 
zh-short	所以我要搬去西雅图 
ar	&rlm;‏لذا سأنتقل للسكن في "سياتل".‏ | 
da	Så jeg flytter til Seattle. 
el	Θα μετακομίσω στο Σιάτλ. 
en	So I'm moving to Seattle. | 
es-eu	Me voy a mudar a Seattle. 
es	Me mudaré a Seattle. 
fi	Muutan Seattleen. 
fr	Je pars pour Seattle. 
he	&rlm;‏אז אני עוברת לסיאטל.‏ | 
it	Mi trasferisco a Seattle. 
ko	그래서 시애틀로 이사하려고요 | 
nl	Dus ik verhuis naar Seattle. 
no	Så jeg skal flytte til Seattle. 
pl	Przeprowadzam się do Seattle. 
pr-br	Então vou me mudar para Seattle. 
pr	Por isso, vou mudar-me para Seattle. 
ro	Așa că mă mut în Seattle. 
sv	Jag flyttar till Seattle. 
tr	Seattle'a taşınıyorum. 
vi	Nên em sẽ chuyển về Seattle. | 
zh-long	我要搬去西雅圖了 

