ja	心臓が弱ってるなんて | 
ar	&rlm;‏معرفة أن قلبك ليس جيداً أمر مخيف.‏ | 
da	Det er skræmmende at vide, at ens hjerte ikke er godt. 
el	Είναι τρομακτικό όταν η καρδιά σου δεν είναι καλά. 
en	It's scary, knowing your heart's not good. | 
fi	On pelottavaa tietää, että sydän reistailee. 
fr	Ça fait peur de savoir que son cœur n'est pas en bon état. 
he	&rlm;‏זה מפחיד, לדעת שהלב שלך לא בסדר.‏ | 
it	È preoccupante sapere che il tuo cuore ha dei problemi. 
nl	Eng om te weten dat je hart niet goed is. 
no	Det er skummelt å vite at du har dårlig hjerte. 
pl	Strasznie jest wiedzieć, że ci serce nawala. 
pr-br	É assustador saber que o coração não está bom. 
pr	É assustador saber que o coração não está bem. 
ro	Te înspăimânți când auzi că ai probleme cu inima. 
sp	Da miedo saber que el corazón de uno no está bien. 
sp-eu	Da miedo saber que te falla el corazón. 
sv	Det är läskigt att veta att hjärtat är dåligt. 
th	มันน่ากลัวที่รู้ว่าหัวใจไม่แข็งแรง | 
tr	Kalbinin teklediğini bilmek ürkütücü oluyor. 
vi	Thật đáng sợ, khi biết tim không khỏe. | 
zh-long	知道自己心臟不好真可怕 
zh-short	知道自己心脏有问题还挺吓人的 
ko	심장이 안 좋다니 좀 무섭네 | 
ru	Страшно, когда сердце не в порядке. 
id	Seram memikirkan jantungku sakit. 

