ar	&rlm;‏خلال دقائق.‏ | 
da	på få minutter. 
el	Μέσα σε λίγα λέπτα. 
en	in a matter of minutes. | 
fi	minuuteissa. 
fr	En quelques minutes. 
he	&rlm;‏תוך דקות ספורות.‏ | 
it	in una manciata di minuti. 
ko	단 몇 분 만에요 | 
nl	...in een paar minuten. 
no	på noen minutter. 
pl	W kilka minut. 
pr-br	em questão de minutos. 
pr	numa questão de minutos. 
ro	în doar câteva minute! 
sp	en cuestión de minutos. 
sp-eu	en cuestión de minutos. 
sv	på bara några minuter. 
vi	chỉ trong vài phút. | 
zh-long	只需一下下 
zh-short	只要几分钟时间 
tr	Dakikalar içinde. 
id	Dalam hitungan menit. 
ru	В считанные минуты. 
th	ในเวลาไม่กี่นาที | 

